,duration,price,date,origination,destination,depart,arrive,mode
91,75,$94 ,10/31/19,Philadelphia,Boston,   9:00 PM   ,   10:15 PM   ,plane
92,81,$94 ,10/31/19,Philadelphia,Boston,   6:00 AM   ,   7:21 AM   ,plane
93,79,$94 ,10/31/19,Philadelphia,Boston,   7:00 AM   ,   8:19 AM   ,plane
94,96,$94 ,10/31/19,Philadelphia,Boston,   8:45 AM   ,   10:21 AM   ,plane
95,82,$94 ,10/31/19,Philadelphia,Boston,   9:34 AM   ,   10:56 AM   ,plane
96,86,$94 ,10/31/19,Philadelphia,Boston,   9:34 AM   ,   11:00 AM   ,plane
97,79,$94 ,10/31/19,Philadelphia,Boston,   10:34 AM   ,   11:53 AM   ,plane
98,94,$94 ,10/31/19,Philadelphia,Boston,   10:35 AM   ,   12:09 PM   ,plane
99,96,$94 ,10/31/19,Philadelphia,Boston,   11:51 AM   ,   1:27 PM   ,plane
100,82,$94 ,10/31/19,Philadelphia,Boston,   1:24 PM   ,   2:46 PM   ,plane
101,82,$94 ,10/31/19,Philadelphia,Boston,   2:29 PM   ,   3:51 PM   ,plane
102,78,$104 ,10/31/19,Philadelphia,Boston,   2:49 PM   ,   4:07 PM   ,plane
103,98,$114 ,10/31/19,Philadelphia,Boston,   5:00 PM   ,   6:38 PM   ,plane
104,83,$144 ,10/31/19,Philadelphia,Boston,   4:27 PM   ,   5:50 PM   ,plane
105,76,$144 ,10/31/19,Philadelphia,Boston,   7:56 PM   ,   9:12 PM   ,plane
106,100,$194 ,10/31/19,Philadelphia,Boston,   6:20 PM   ,   8:00 PM   ,plane
107,96,$94 ,11/3/19,Boston,Philadelphia,   5:00 AM   ,   6:36 AM   ,plane
108,96,$94 ,11/3/19,Boston,Philadelphia,   6:00 AM   ,   7:36 AM   ,plane
109,99,$94 ,11/3/19,Boston,Philadelphia,   7:38 AM   ,   9:17 AM   ,plane
110,101,$94 ,11/3/19,Boston,Philadelphia,   8:03 AM   ,   9:44 AM   ,plane
111,97,$104 ,11/3/19,Boston,Philadelphia,   9:38 PM   ,   11:15 PM   ,plane
112,98,$104 ,11/3/19,Boston,Philadelphia,   8:21 AM   ,   9:59 AM   ,plane
113,96,$144 ,11/3/19,Boston,Philadelphia,   12:34 PM   ,   2:10 PM   ,plane
114,100,$144 ,11/3/19,Boston,Philadelphia,   5:36 PM   ,   7:16 PM   ,plane
115,101,$144 ,11/3/19,Boston,Philadelphia,   6:39 PM   ,   8:20 PM   ,plane
116,94,$149 ,11/3/19,Boston,Philadelphia,   10:09 AM   ,   11:43 AM   ,plane
117,101,$149 ,11/3/19,Boston,Philadelphia,   10:45 AM   ,   12:26 PM   ,plane
118,108,$149 ,11/3/19,Boston,Philadelphia,   3:54 PM   ,   5:42 PM   ,plane
119,97,$164 ,11/3/19,Boston,Philadelphia,   11:07 AM   ,   12:44 PM   ,plane
120,109,$184 ,11/3/19,Boston,Philadelphia,   6:55 PM   ,   8:44 PM   ,plane
121,97,$189 ,11/3/19,Boston,Philadelphia,   2:10 PM   ,   3:47 PM   ,plane
122,94,$194 ,11/3/19,Boston,Philadelphia,   11:02 AM   ,   12:36 PM   ,plane
123,103,$194 ,11/3/19,Boston,Philadelphia,   4:42 PM   ,   6:25 PM   ,plane
124,105,$194 ,11/3/19,Boston,Philadelphia,   5:50 PM   ,   7:35 PM   ,plane
125,104,$194 ,11/3/19,Boston,Philadelphia,   7:12 PM   ,   8:56 PM   ,plane
126,104,$194 ,11/3/19,Boston,Philadelphia,   7:47 PM   ,   9:31 PM   ,plane
127,91,$209 ,10/17/19,Philadelphia,Boston,   8:40 PM   ,   10:11 PM   ,plane
128,90,$214 ,10/17/19,Philadelphia,Boston,   6:00 AM   ,   7:30 AM   ,plane
129,97,$214 ,10/17/19,Philadelphia,Boston,   9:41 PM   ,   11:18 PM   ,plane
130,92,$209 ,10/17/19,Philadelphia,Boston,   8:46 AM   ,   10:18 AM   ,plane
131,93,$209 ,10/17/19,Philadelphia,Boston,   10:38 AM   ,   12:11 PM   ,plane
132,96,$209 ,10/17/19,Philadelphia,Boston,   12:40 PM   ,   2:16 PM   ,plane
133,98,$209 ,10/17/19,Philadelphia,Boston,   6:51 PM   ,   8:29 PM   ,plane
134,97,$214 ,10/17/19,Philadelphia,Boston,   5:00 AM   ,   6:37 AM   ,plane
135,102,$214 ,10/17/19,Philadelphia,Boston,   6:20 AM   ,   8:02 AM   ,plane
136,101,$214 ,10/17/19,Philadelphia,Boston,   7:38 AM   ,   9:19 AM   ,plane
137,102,$214 ,10/17/19,Philadelphia,Boston,   8:08 AM   ,   9:50 AM   ,plane
138,107,$214 ,10/17/19,Philadelphia,Boston,   9:27 AM   ,   11:14 AM   ,plane
139,95,$214 ,10/17/19,Philadelphia,Boston,   10:09 AM   ,   11:44 AM   ,plane
140,101,$214 ,10/17/19,Philadelphia,Boston,   10:45 AM   ,   12:26 PM   ,plane
141,93,$214 ,10/17/19,Philadelphia,Boston,   11:06 AM   ,   12:39 PM   ,plane
142,106,$214 ,10/17/19,Philadelphia,Boston,   1:00 PM   ,   2:46 PM   ,plane
143,109,$214 ,10/17/19,Philadelphia,Boston,   6:55 PM   ,   8:44 PM   ,plane
144,107,$214 ,10/17/19,Philadelphia,Boston,   7:47 PM   ,   9:34 PM   ,plane
145,102,$254 ,10/17/19,Philadelphia,Boston,   2:30 PM   ,   4:12 PM   ,plane
146,103,$254 ,10/17/19,Philadelphia,Boston,   4:30 PM   ,   6:13 PM   ,plane
147,108,$314 ,10/17/19,Philadelphia,Boston,   3:54 PM   ,   5:42 PM   ,plane
148,107,$324 ,10/17/19,Philadelphia,Boston,   7:07 PM   ,   8:54 PM   ,plane
149,111,$430 ,10/17/19,Philadelphia,Boston,   5:50 PM   ,   7:41 PM   ,plane
150,106,$909 ,10/17/19,Philadelphia,Boston,   4:54 PM   ,   6:40 PM   ,plane
151,92,$144 ,10/24/19,Philadelphia,Boston,   8:46 AM   ,   10:18 AM   ,plane
152,90,$149 ,10/24/19,Philadelphia,Boston,   6:00 AM   ,   7:30 AM   ,plane
153,97,$149 ,10/24/19,Philadelphia,Boston,   9:41 PM   ,   11:18 PM   ,plane
154,93,$144 ,10/24/19,Philadelphia,Boston,   10:38 AM   ,   12:11 PM   ,plane
155,96,$144 ,10/24/19,Philadelphia,Boston,   12:40 PM   ,   2:16 PM   ,plane
156,97,$149 ,10/24/19,Philadelphia,Boston,   5:00 AM   ,   6:37 AM   ,plane
157,102,$149 ,10/24/19,Philadelphia,Boston,   6:20 AM   ,   8:02 AM   ,plane
158,101,$149 ,10/24/19,Philadelphia,Boston,   7:38 AM   ,   9:19 AM   ,plane
159,102,$149 ,10/24/19,Philadelphia,Boston,   8:08 AM   ,   9:50 AM   ,plane
160,107,$149 ,10/24/19,Philadelphia,Boston,   9:27 AM   ,   11:14 AM   ,plane
161,95,$149 ,10/24/19,Philadelphia,Boston,   10:09 AM   ,   11:44 AM   ,plane
162,101,$149 ,10/24/19,Philadelphia,Boston,   10:45 AM   ,   12:26 PM   ,plane
163,93,$149 ,10/24/19,Philadelphia,Boston,   11:06 AM   ,   12:39 PM   ,plane
164,106,$149 ,10/24/19,Philadelphia,Boston,   1:00 PM   ,   2:46 PM   ,plane
165,91,$189 ,10/24/19,Philadelphia,Boston,   8:40 PM   ,   10:11 PM   ,plane
166,102,$244 ,10/24/19,Philadelphia,Boston,   2:30 PM   ,   4:12 PM   ,plane
167,109,$269 ,10/24/19,Philadelphia,Boston,   6:55 PM   ,   8:44 PM   ,plane
168,103,$274 ,10/24/19,Philadelphia,Boston,   4:30 PM   ,   6:13 PM   ,plane
169,98,$292 ,10/24/19,Philadelphia,Boston,   6:51 PM   ,   8:29 PM   ,plane
170,108,$314 ,10/24/19,Philadelphia,Boston,   3:54 PM   ,   5:42 PM   ,plane
171,107,$324 ,10/24/19,Philadelphia,Boston,   7:07 PM   ,   8:54 PM   ,plane
172,107,$324 ,10/24/19,Philadelphia,Boston,   7:47 PM   ,   9:34 PM   ,plane
173,111,$430 ,10/24/19,Philadelphia,Boston,   5:50 PM   ,   7:41 PM   ,plane
174,106,$909 ,10/24/19,Philadelphia,Boston,   4:54 PM   ,   6:40 PM   ,plane
175,81,$209 ,10/20/19,Boston,Philadelphia,   7:00 AM   ,   8:21 AM   ,plane
176,78,$214 ,10/20/19,Boston,Philadelphia,   7:44 AM   ,   9:02 AM   ,plane
177,103,$214 ,10/20/19,Boston,Philadelphia,   6:17 PM   ,   8:00 PM   ,plane
178,94,$209 ,10/20/19,Boston,Philadelphia,   6:55 PM   ,   8:29 PM   ,plane
179,81,$209 ,10/20/19,Boston,Philadelphia,   9:10 PM   ,   10:31 PM   ,plane
180,81,$214 ,10/20/19,Boston,Philadelphia,   6:00 AM   ,   7:21 AM   ,plane
181,90,$214 ,10/20/19,Boston,Philadelphia,   9:05 PM   ,   10:35 PM   ,plane
182,92,$229 ,10/20/19,Boston,Philadelphia,   3:26 PM   ,   4:58 PM   ,plane
183,100,$229 ,10/20/19,Boston,Philadelphia,   6:20 PM   ,   8:00 PM   ,plane
184,84,$244 ,10/20/19,Boston,Philadelphia,   12:51 PM   ,   2:15 PM   ,plane
185,96,$269 ,10/20/19,Boston,Philadelphia,   11:51 AM   ,   1:27 PM   ,plane
186,97,$269 ,10/20/19,Boston,Philadelphia,   9:15 PM   ,   10:52 PM   ,plane
187,84,$274 ,10/20/19,Boston,Philadelphia,   2:56 PM   ,   4:20 PM   ,plane
188,87,$274 ,10/20/19,Boston,Philadelphia,   4:55 PM   ,   6:22 PM   ,plane
189,81,$292 ,10/20/19,Boston,Philadelphia,   10:53 AM   ,   12:14 PM   ,plane
190,97,$314 ,10/20/19,Boston,Philadelphia,   1:02 PM   ,   2:39 PM   ,plane
191,95,$314 ,10/20/19,Boston,Philadelphia,   3:21 PM   ,   4:56 PM   ,plane
192,82,$324 ,10/20/19,Boston,Philadelphia,   2:29 PM   ,   3:51 PM   ,plane
193,87,$324 ,10/20/19,Boston,Philadelphia,   5:30 PM   ,   6:57 PM   ,plane
194,96,$909 ,10/20/19,Boston,Philadelphia,   8:45 AM   ,   10:21 AM   ,plane
195,86,$909 ,10/20/19,Boston,Philadelphia,   9:34 AM   ,   11:00 AM   ,plane
196,95,$94 ,10/31/19,Philadelphia,Boston,   6:05 AM   ,   7:40 AM   ,plane
197,78,$94 ,10/31/19,Philadelphia,Boston,   7:44 AM   ,   9:02 AM   ,plane
198,75,$94 ,10/31/19,Philadelphia,Boston,   9:00 PM   ,   10:15 PM   ,plane
199,81,$94 ,10/31/19,Philadelphia,Boston,   6:00 AM   ,   7:21 AM   ,plane
200,79,$94 ,10/31/19,Philadelphia,Boston,   7:00 AM   ,   8:19 AM   ,plane
201,96,$94 ,10/31/19,Philadelphia,Boston,   8:45 AM   ,   10:21 AM   ,plane
202,82,$94 ,10/31/19,Philadelphia,Boston,   9:34 AM   ,   10:56 AM   ,plane
203,86,$94 ,10/31/19,Philadelphia,Boston,   9:34 AM   ,   11:00 AM   ,plane
204,79,$94 ,10/31/19,Philadelphia,Boston,   10:34 AM   ,   11:53 AM   ,plane
205,94,$94 ,10/31/19,Philadelphia,Boston,   10:35 AM   ,   12:09 PM   ,plane
206,96,$94 ,10/31/19,Philadelphia,Boston,   11:51 AM   ,   1:27 PM   ,plane
207,82,$94 ,10/31/19,Philadelphia,Boston,   1:24 PM   ,   2:46 PM   ,plane
208,82,$94 ,10/31/19,Philadelphia,Boston,   2:29 PM   ,   3:51 PM   ,plane
209,78,$104 ,10/31/19,Philadelphia,Boston,   2:49 PM   ,   4:07 PM   ,plane
210,98,$114 ,10/31/19,Philadelphia,Boston,   5:00 PM   ,   6:38 PM   ,plane
211,83,$144 ,10/31/19,Philadelphia,Boston,   4:27 PM   ,   5:50 PM   ,plane
212,76,$144 ,10/31/19,Philadelphia,Boston,   7:56 PM   ,   9:12 PM   ,plane
213,100,$194 ,10/31/19,Philadelphia,Boston,   6:20 PM   ,   8:00 PM   ,plane
214,98,$144 ,10/27/19,Boston,Philadelphia,   8:21 AM   ,   9:59 AM   ,plane
215,97,$149 ,10/27/19,Boston,Philadelphia,   5:00 AM   ,   6:37 AM   ,plane
216,101,$149 ,10/27/19,Boston,Philadelphia,   7:38 AM   ,   9:19 AM   ,plane
217,102,$149 ,10/27/19,Boston,Philadelphia,   8:08 AM   ,   9:50 AM   ,plane
218,95,$149 ,10/27/19,Boston,Philadelphia,   10:09 AM   ,   11:44 AM   ,plane
219,477,$178 ,10/27/19,Boston,Philadelphia,   5:00 AM   ,   12:57 PM   ,plane
220,101,$184 ,10/27/19,Boston,Philadelphia,   10:45 AM   ,   12:26 PM   ,plane
221,100,$189 ,10/27/19,Boston,Philadelphia,   5:36 PM   ,   7:16 PM   ,plane
222,101,$189 ,10/27/19,Boston,Philadelphia,   6:39 PM   ,   8:20 PM   ,plane
223,97,$189 ,10/27/19,Boston,Philadelphia,   9:38 PM   ,   11:15 PM   ,plane
224,93,$194 ,10/27/19,Boston,Philadelphia,   11:06 AM   ,   12:39 PM   ,plane
225,106,$194 ,10/27/19,Boston,Philadelphia,   4:54 PM   ,   6:40 PM   ,plane
226,111,$194 ,10/27/19,Boston,Philadelphia,   5:50 PM   ,   7:41 PM   ,plane
227,107,$194 ,10/27/19,Boston,Philadelphia,   7:12 PM   ,   8:59 PM   ,plane
228,107,$194 ,10/27/19,Boston,Philadelphia,   7:47 PM   ,   9:34 PM   ,plane
229,97,$209 ,10/27/19,Boston,Philadelphia,   2:10 PM   ,   3:47 PM   ,plane
230,109,$219 ,10/27/19,Boston,Philadelphia,   6:55 PM   ,   8:44 PM   ,plane
231,96,$244 ,10/27/19,Boston,Philadelphia,   12:33 PM   ,   2:09 PM   ,plane
232,108,$314 ,10/27/19,Boston,Philadelphia,   3:54 PM   ,   5:42 PM   ,plane
233,98,$144 ,10/27/19,Boston,Philadelphia,   8:21 AM   ,   9:59 AM   ,plane
234,97,$149 ,10/27/19,Boston,Philadelphia,   5:00 AM   ,   6:37 AM   ,plane
235,101,$149 ,10/27/19,Boston,Philadelphia,   7:38 AM   ,   9:19 AM   ,plane
236,102,$149 ,10/27/19,Boston,Philadelphia,   8:08 AM   ,   9:50 AM   ,plane
237,95,$149 ,10/27/19,Boston,Philadelphia,   10:09 AM   ,   11:44 AM   ,plane
238,477,$178 ,10/27/19,Boston,Philadelphia,   5:00 AM   ,   12:57 PM   ,plane
